@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,8,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {defective,clean}

@data
1,2759,2,299,0,1379,defective
1,2759,2,299,0,1379,defective
1,551,1,358,8,29,clean
2,32,2,258,138,16,clean
1,297,1,259,349,11,clean
1,86,1,1742,0,86,clean
1,3875235,1,1742,220,2839,clean
1,86,1,1742,0,86,clean
4,28,6,299,114,5,defective
2,3007,2,358,240,61,defective
3,680,4,258,23,133,defective
1,510,2,259,93,264,defective
8,126,8,358,112,9,defective
4,116,4,299,130,700,defective
5,58,9,1742,64,96,defective
3,7,4,319,57,7,clean
2,80,2,258,411,15,clean
2,807,2,259,170,29,defective
1,1248,1,358,190,48,clean
1,9,1,258,0,3,clean
1,7,1,259,0,7,clean
2,144,4,358,130,11,defective
2,2365,3,258,37,156,clean
2,510,3,259,69,178,defective
1,256,1,358,23,16,defective
2,120,2,299,66,13,defective
1,38,1,319,69,19,clean
2,6572,2,258,83,190,defective
3,581,3,299,17,109,clean
1,1,1,1742,37,0,clean
1,1947,2,299,61,1057,clean
1,107,3,1742,0,74,clean
6,60,6,358,111,46,defective
3,262,3,299,93,99,defective
1,510,2,259,93,264,defective
1,8,1,319,36,4,defective
2,28,2,358,37,134,defective
3,34,5,319,98,9,defective
2,529,3,258,76,30,clean
2,24,2,259,63,15,defective
3,57,3,299,131,13,defective
1,4,1,299,0,4,clean
1,12,1,1742,0,0,clean
1,12,1,1742,0,0,clean
2,3,3,358,0,5,clean
2,4,2,299,100,0,clean
1,81,1,258,40,9,defective
2,516,2,258,13,25,clean
1,1,1,259,14,1,clean
2,731,12,258,15,126,clean
20,18,49,358,0,12,defective
20,5,25,299,11,187,defective
22,70,111,1742,2,469,clean
24,13,29,319,14,23,defective
20,9,31,258,2,30,defective
27,39,34,259,0,29,defective
1,15,1,358,0,0,clean
1,395,1,358,13,79,clean
1,1947,1,299,122,1947,clean
1,20520,1,358,41,190,clean
3,1066,6,358,63,207,defective
3,25024,11,258,98,289,defective
6,476,6,358,237,23,defective
5,68,8,299,101,110,defective
4,135,9,258,22,82,defective
2,45,3,259,87,177,defective
1,5,1,358,108,0,clean
3,1,3,319,105,1,clean
1,20128,2,258,113,148,defective
1,15,1,1742,188,0,clean
1,16,1,319,188,16,clean
1,10607,1,1742,0,10607,clean
1,7,1,299,0,7,clean
1,2,1,1742,0,2,clean
1,1649,1,1742,0,1649,clean
16,4,23,358,86,14,defective
11,52,15,299,20,365,defective
7,66,9,1742,7,50,defective
7,62,7,319,230,68,clean
5,40,5,258,102,10,clean
5,9,5,259,30,17,clean
1,1947,1,299,122,1947,clean
10,26,32,358,49,58,defective
2,5,6,299,55,2,clean
6,9,9,1742,91,16,defective
3,86,4,319,21,104,defective
6,186,15,258,70,59,defective
1,510,2,259,93,264,defective
1,76,1,358,41,76,clean
1,10,1,1742,41,2,clean
1,1,1,299,172,1,clean
3,2476,3,258,28,151,defective
1,510,2,259,93,264,defective
1,14,1,358,111,7,clean
1,21,1,299,105,3,clean
5,43,5,358,88,30,defective
3,430,3,1742,51,43,defective
2,1294,2,258,120,113,defective
1,551,1,358,8,29,clean
1,1947,1,299,122,1947,clean
3,1066,5,358,44,119,defective
5,208,7,319,35,39,defective
2,175,3,258,36,4,clean
1,12,2,1742,0,12,clean
2,45,2,1742,53,8,clean
1,3,1,299,0,1,clean
1,10,1,299,0,10,clean
1,22,1,258,0,1,clean
1,138,5,319,40,299,defective
2,358,2,258,38,231,defective
3,280,3,358,133,138,defective
5,179,7,299,123,56,defective
3,430,3,1742,51,43,defective
