@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-3,5,7,9-11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute label {defective,clean}

@data
1,2759,2,586,defective
1,2759,2,586,defective
1,551,1,145,clean
2,32,2,665,clean
1,297,1,1131,clean
1,86,1,34,clean
1,3875235,1,1467,clean
1,86,1,34,clean
4,28,6,337,defective
2,3007,2,844,defective
3,680,4,121,defective
1,510,2,352,defective
8,126,8,534,defective
4,116,4,864,defective
5,58,9,414,defective
3,7,4,367,clean
2,80,2,1303,clean
2,807,2,772,defective
1,1248,1,499,clean
1,9,1,56,clean
1,7,1,55,clean
2,144,4,491,defective
2,2365,3,143,clean
2,510,3,276,defective
1,256,1,145,defective
2,120,2,376,defective
1,38,1,428,clean
2,6572,2,378,defective
3,581,3,141,clean
1,1,1,194,clean
1,1947,2,264,clean
1,107,3,0,clean
6,60,6,410,defective
3,262,3,321,defective
1,510,2,352,defective
1,8,1,172,defective
2,28,2,191,defective
3,34,5,401,defective
2,529,3,304,clean
2,24,2,265,defective
3,57,3,475,defective
1,4,1,2,clean
1,12,1,2,clean
1,12,1,2,clean
2,3,3,0,clean
2,4,2,385,clean
1,81,1,190,defective
2,516,2,84,clean
1,1,1,86,clean
2,731,12,86,clean
20,18,49,61,defective
20,5,25,193,defective
22,70,111,172,clean
24,13,29,124,defective
20,9,31,89,defective
27,39,34,81,defective
1,15,1,25,clean
1,395,1,50,clean
1,1947,1,500,clean
1,20520,1,315,clean
3,1066,6,407,defective
3,25024,11,696,defective
6,476,6,833,defective
5,68,8,365,defective
4,135,9,103,defective
2,45,3,334,defective
1,5,1,343,clean
3,1,3,344,clean
1,20128,2,344,defective
1,15,1,1144,clean
1,16,1,1123,clean
1,10607,1,3914,clean
1,7,1,5,clean
1,2,1,5,clean
1,1649,1,359,clean
16,4,23,350,defective
11,52,15,296,defective
7,66,9,79,defective
7,62,7,1050,clean
5,40,5,357,clean
5,9,5,548,clean
1,1947,1,500,clean
10,26,32,283,defective
2,5,6,347,clean
6,9,9,336,defective
3,86,4,155,defective
6,186,15,254,defective
1,510,2,352,defective
1,76,1,103,clean
1,10,1,103,clean
1,1,1,665,clean
3,2476,3,135,defective
1,510,2,352,defective
1,14,1,351,clean
1,21,1,343,clean
5,43,5,564,defective
3,430,3,125,defective
2,1294,2,391,defective
1,551,1,145,clean
1,1947,1,500,clean
3,1066,5,192,defective
5,208,7,213,defective
2,175,3,239,clean
1,12,2,4,clean
2,45,2,231,clean
1,3,1,517,clean
1,10,1,8,clean
1,22,1,3,clean
1,138,5,179,defective
2,358,2,159,defective
3,280,3,507,defective
5,179,7,446,defective
3,430,3,125,defective
3,10,3,346,clean
4,2,4,487,clean
1,1,1,547,clean
1,10,1,517,clean
1,1,1,539,clean
5,11,6,603,defective
5,132,18,123,defective
5,17,8,392,defective
6,14,6,539,clean
2,3,2,544,clean
2,464,2,301,defective
3,16,3,101,clean
1,38,1,428,clean
4,48,4,269,defective
1,15,1,492,clean
1,10,1,517,clean
1,130,1,180,clean
4,655,6,175,defective
1,154,1,492,clean
1,12,1,2,clean
1,196,1,539,clean
1,8,1,546,clean
3,356,3,537,defective
1,8,1,546,clean
2,154,2,492,clean
4,292,4,538,defective
1,3,1,542,clean
3,292,3,537,defective
1,3,1,517,clean
1,32,1,231,clean
2,4,2,899,clean
1,18,1,926,defective
3,259,4,530,defective
2,61,9,253,defective
3,6,3,328,clean
1,22,1,3,clean
1,22,1,3,clean
1,611,1,344,defective
3,14,3,173,defective
1,49770,3,242,defective
1,138,1,102,clean
1,22,1,3,clean
1,49770,2,291,defective
1,22,1,3,clean
1,49770,2,291,defective
6,498,7,345,defective
2,28,5,380,defective
2,20,2,702,defective
1,209,1,116,clean
1,2,1,701,clean
1,219,1,169,clean
3,29,3,1220,clean
1,1,1,170,clean
2,3,2,389,clean
1,75,1,49,clean
1,185,2,29,clean
1,69,1,15,clean
2,5,2,1,clean
1,1,1,53,clean
2,4,2,196,clean
1,86,1,34,clean
1,73,2,116,clean
1,31,1,56,clean
1,73,1,22,clean
2,1032,5,647,clean
1,8532,1,535,defective
1,34225,1,1977,clean
1,7,1,86,clean
1,11,1,539,clean
1,11,1,539,clean
1,11,1,539,clean
2,8,2,343,clean
1,171,1,89,clean
12,1678,21,459,defective
4,777,7,396,defective
6,27,6,119,defective
5,208,7,210,defective
9,719,21,313,defective
1,510,2,352,defective
5,4,6,269,defective
4,6,5,510,clean
1,190,1,539,clean
2,1,2,485,clean
3,696,7,254,defective
1,3,1,502,clean
3,382,4,210,defective
3,105,3,257,defective
2,2365,4,234,defective
2,16,3,341,defective
1,21,1,343,clean
1,110,1,93,clean
2,5,7,201,defective
1,454,1,273,defective
1,31759,1,1410,clean
3,27,4,243,defective
8,257,10,385,defective
2,180,3,61,clean
6,27,7,206,defective
6,2665,13,814,defective
1,510,2,352,defective
1,1,1,123,clean
1,1947,1,500,clean
1,76,2,118,defective
2,18,2,120,defective
1,81,1,190,defective
2,3,7,173,defective
1,86,1,34,clean
1,100,1,212,clean
1,12,6,70,clean
3,18,3,252,clean
1,1,4,107,clean
12,189,18,370,defective
1,9666,1,663,defective
5,51,5,389,defective
2,208,3,165,defective
4,102,8,277,defective
1,510,2,352,defective
1,1649,1,359,clean
1,492,1,633,clean
1,4,1,632,defective
1,164,1,241,clean
1,2500,2,436,defective
1,107,1,0,clean
1,21,1,343,clean
1,20128,2,344,defective
1,185,1,57,clean
1,4416,1,134,defective
1,12,1,135,clean
1,608,1,133,defective
5,219,6,582,defective
2,6830,3,488,defective
4,1066,6,348,defective
1,728,3,182,clean
1,322,1,169,defective
7,208,12,200,defective
1,1,2,249,clean
6,13,11,253,defective
7,87,11,327,defective
8,44,11,500,defective
5,203,15,234,defective
6,12,7,296,defective
3,51,3,666,clean
1,209,1,116,clean
1,510,2,352,defective
1,76,2,446,defective
3,35,6,484,defective
1,209,1,116,clean
1,510,2,352,defective
1,1424,1,313,clean
1,56,2,1962,clean
10,942,23,851,defective
1,107,1,0,clean
1,1947,1,500,clean
1,4,6,164,clean
1,1,1,250,clean
1,648,1,405,clean
1,18,3,266,clean
1,49770,1,245,defective
1,107,1,0,clean
11,58,13,242,clean
9,42,20,859,defective
9,5,13,353,defective
5,193,10,195,defective
3,11,3,11,clean
6,16,12,235,defective
12,42,15,2088,defective
1,24,2,1267,clean
1,4,1,216,clean
3,67,3,1048,clean
6,57,10,601,clean
4,13,13,373,defective
6,266,12,1955,defective
5,34,5,512,defective
6,123,10,465,clean
1,4,1,2239,clean
1,6,1,671,clean
1,5,2,557,clean
1,806,1,478,defective
1,1947,1,500,clean
1,244,1,14,clean
1,20525,1,5808,clean
1,4,1,179,clean
1,244,2,14,clean
1,4,1,77,clean
1,8420,1,3240,defective
1,24,1,175,clean
