@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R4,9'

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
1,1,1,4072,2,299,586,1379,656,defective
1,1,1,4072,2,299,586,1379,656,defective
1,1,1,48,1,358,145,29,19,clean
2,2,1,34,2,258,665,16,0,clean
1,1,1,38,1,259,1131,11,27,clean
1,1,1,86,1,1742,34,86,0,clean
1,1,1,4204,1,1742,1467,2839,1365,clean
1,1,1,86,1,1742,34,86,0,clean
4,4,3,20,6,299,337,5,5,defective
2,2,2,80,2,358,844,61,54,defective
3,3,4,460,4,258,121,133,52,defective
1,1,5,1039,2,259,352,264,255,defective
8,8,2,78,8,358,534,9,7,defective
4,4,5,2759,4,299,864,700,1,defective
5,5,9,29,9,1742,414,96,92,defective
3,3,12,10,4,319,367,7,0,clean
2,2,14,16,2,258,1303,15,14,clean
2,2,16,44,2,259,772,29,30,defective
1,1,1,74,1,358,499,48,26,clean
1,1,1,6,1,258,56,3,3,clean
1,1,2,8,1,259,55,7,1,clean
2,2,2,42,4,358,491,11,11,defective
2,2,4,284,3,258,143,156,60,clean
2,2,5,1052,3,259,276,178,172,defective
1,1,1,32,1,358,145,16,16,defective
2,2,3,26,2,299,376,13,13,defective
1,1,4,21,1,319,428,19,2,clean
2,2,6,416,2,258,378,190,60,defective
3,3,2,11,3,299,141,109,118,clean
1,1,3,1,1,1742,194,0,1,clean
1,1,1,2114,2,299,264,1057,0,clean
1,1,2,223,3,1742,0,74,0,clean
6,6,2,30,6,358,410,46,21,defective
3,3,4,87,3,299,321,99,120,defective
1,1,5,1039,2,259,352,264,255,defective
1,1,1,6,1,319,172,4,2,defective
2,2,2,4,2,358,191,134,1,defective
3,3,4,42,5,319,401,9,5,defective
2,2,6,44,3,258,304,30,19,clean
2,2,7,32,2,259,265,15,0,defective
3,3,3,27,3,299,475,13,5,defective
1,1,1,4,1,299,2,4,0,clean
1,1,2,12,1,1742,2,0,12,clean
1,1,1,12,1,1742,2,0,12,clean
2,2,1,21,3,358,0,5,2,clean
2,2,1,9,2,299,385,0,4,clean
1,1,2,18,1,258,190,9,9,defective
2,2,2,34,2,258,84,25,22,clean
1,1,3,1,1,259,86,1,0,clean
2,2,2,1221,12,258,86,126,48,clean
20,20,6,469,49,358,61,12,3,defective
20,20,11,127,25,299,193,187,3,defective
22,22,20,1103,111,1742,172,469,30,clean
24,24,26,2,29,319,124,23,4,defective
20,20,33,14,31,258,89,30,2,defective
27,27,41,307,34,259,81,29,11,defective
1,1,1,15,1,358,25,0,15,clean
1,1,1,84,1,358,50,79,5,clean
1,1,1,1947,1,299,500,1947,0,clean
1,1,1,298,1,358,315,190,108,clean
3,3,1,2396,6,358,407,207,191,defective
3,3,3,143,11,258,696,289,43,defective
6,6,3,189,6,358,833,23,23,defective
5,5,5,5,8,299,365,110,96,defective
4,4,8,10,9,258,103,82,34,defective
2,2,10,4,3,259,334,177,170,defective
1,1,1,5,1,358,343,0,5,clean
3,3,2,8,3,319,344,1,1,clean
1,1,3,568,2,258,344,148,136,defective
1,1,1,15,1,1742,1144,0,15,clean
1,1,2,17,1,319,1123,16,1,clean
1,1,1,10607,1,1742,3914,10607,0,clean
1,1,1,8,1,299,5,7,1,clean
1,1,2,3,1,1742,5,2,1,clean
1,1,1,1649,1,1742,359,1649,0,clean
16,16,3,77,23,358,350,14,8,defective
11,11,6,4,15,299,296,365,4,defective
7,7,9,15,9,1742,79,50,9,defective
7,7,12,1702,7,319,1050,68,195,clean
5,5,15,18,5,258,357,10,9,clean
