@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R2-5,7-11'

@attribute comm numeric
@attribute modd numeric
@attribute label {defective,clean}

@data
1,2,defective
1,2,defective
1,1,clean
2,2,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
4,6,defective
2,2,defective
3,4,defective
1,2,defective
8,8,defective
4,4,defective
5,9,defective
3,4,clean
2,2,clean
2,2,defective
1,1,clean
1,1,clean
1,1,clean
2,4,defective
2,3,clean
2,3,defective
1,1,defective
2,2,defective
1,1,clean
2,2,defective
3,3,clean
1,1,clean
1,2,clean
1,3,clean
6,6,defective
3,3,defective
1,2,defective
1,1,defective
2,2,defective
3,5,defective
2,3,clean
2,2,defective
3,3,defective
1,1,clean
1,1,clean
1,1,clean
2,3,clean
2,2,clean
1,1,defective
2,2,clean
1,1,clean
2,12,clean
20,49,defective
20,25,defective
22,111,clean
24,29,defective
20,31,defective
27,34,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
3,6,defective
3,11,defective
6,6,defective
5,8,defective
4,9,defective
2,3,defective
1,1,clean
3,3,clean
1,2,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
16,23,defective
11,15,defective
7,9,defective
7,7,clean
5,5,clean
5,5,clean
1,1,clean
10,32,defective
2,6,clean
6,9,defective
3,4,defective
6,15,defective
1,2,defective
1,1,clean
1,1,clean
1,1,clean
3,3,defective
1,2,defective
1,1,clean
1,1,clean
5,5,defective
3,3,defective
2,2,defective
1,1,clean
1,1,clean
3,5,defective
5,7,defective
2,3,clean
1,2,clean
2,2,clean
1,1,clean
1,1,clean
1,1,clean
1,5,defective
2,2,defective
3,3,defective
5,7,defective
3,3,defective
3,3,clean
4,4,clean
1,1,clean
1,1,clean
1,1,clean
5,6,defective
5,18,defective
5,8,defective
6,6,clean
2,2,clean
2,2,defective
3,3,clean
1,1,clean
4,4,defective
1,1,clean
1,1,clean
1,1,clean
4,6,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
3,3,defective
1,1,clean
2,2,clean
4,4,defective
1,1,clean
3,3,defective
1,1,clean
1,1,clean
2,2,clean
1,1,defective
3,4,defective
2,9,defective
3,3,clean
1,1,clean
1,1,clean
1,1,defective
3,3,defective
1,3,defective
1,1,clean
1,1,clean
1,2,defective
1,1,clean
1,2,defective
6,7,defective
2,5,defective
2,2,defective
1,1,clean
1,1,clean
1,1,clean
3,3,clean
1,1,clean
2,2,clean
1,1,clean
1,2,clean
1,1,clean
2,2,clean
1,1,clean
2,2,clean
1,1,clean
1,2,clean
1,1,clean
1,1,clean
2,5,clean
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
2,2,clean
1,1,clean
12,21,defective
4,7,defective
6,6,defective
5,7,defective
9,21,defective
1,2,defective
5,6,defective
4,5,clean
1,1,clean
2,2,clean
3,7,defective
1,1,clean
3,4,defective
3,3,defective
2,4,defective
2,3,defective
1,1,clean
1,1,clean
2,7,defective
1,1,defective
1,1,clean
3,4,defective
8,10,defective
2,3,clean
6,7,defective
6,13,defective
1,2,defective
1,1,clean
1,1,clean
1,2,defective
2,2,defective
1,1,defective
2,7,defective
1,1,clean
1,1,clean
1,6,clean
3,3,clean
1,4,clean
12,18,defective
1,1,defective
5,5,defective
2,3,defective
4,8,defective
1,2,defective
1,1,clean
1,1,clean
1,1,defective
1,1,clean
1,2,defective
1,1,clean
1,1,clean
1,2,defective
1,1,clean
1,1,defective
1,1,clean
1,1,defective
5,6,defective
2,3,defective
4,6,defective
1,3,clean
1,1,defective
7,12,defective
1,2,clean
6,11,defective
7,11,defective
8,11,defective
5,15,defective
6,7,defective
3,3,clean
1,1,clean
1,2,defective
1,2,defective
3,6,defective
1,1,clean
1,2,defective
1,1,clean
1,2,clean
10,23,defective
1,1,clean
1,1,clean
1,6,clean
1,1,clean
1,1,clean
1,3,clean
1,1,defective
1,1,clean
11,13,clean
9,20,defective
9,13,defective
5,10,defective
3,3,clean
6,12,defective
12,15,defective
1,2,clean
1,1,clean
3,3,clean
6,10,clean
4,13,defective
6,12,defective
5,5,defective
6,10,clean
1,1,clean
1,1,clean
1,2,clean
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,2,clean
1,1,clean
1,1,defective
1,1,clean
1,1,clean
2,2,clean
2,2,clean
1,1,clean
1,1,clean
1,1,clean
2,2,defective
2,2,clean
1,1,clean
1,1,clean
2,2,clean
1,1,clean
1,1,defective
2,6,defective
1,3,defective
2,6,defective
1,1,defective
2,6,defective
1,2,clean
2,3,defective
1,1,clean
1,1,clean
1,2,defective
1,2,defective
1,1,clean
1,2,defective
1,2,defective
1,2,clean
1,1,clean
1,1,clean
12,14,defective
1,1,clean
3,3,clean
9,11,defective
1,1,clean
1,1,clean
8,10,clean
1,1,clean
6,8,clean
1,1,clean
7,9,defective
1,1,clean
9,11,clean
1,1,clean
1,1,defective
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,defective
1,1,clean
2,3,clean
1,1,clean
8,8,defective
20,34,defective
5,5,clean
2,2,clean
4,5,clean
5,7,defective
1,1,clean
3,3,defective
1,1,clean
1,1,clean
1,2,clean
1,1,defective
2,2,clean
1,1,clean
2,2,clean
1,1,clean
1,1,clean
3,3,defective
2,2,defective
1,1,clean
1,1,clean
2,2,clean
1,1,clean
3,3,clean
2,2,clean
2,2,clean
1,1,defective
2,2,clean
1,1,clean
1,1,defective
2,2,clean
1,1,defective
1,1,defective
1,1,defective
1,1,clean
1,1,clean
2,15,clean
1,1,clean
1,1,clean
1,1,clean
1,2,defective
2,4,defective
2,2,clean
1,1,defective
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,defective
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,2,clean
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,4,defective
3,3,defective
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,2,clean
1,1,clean
1,1,defective
1,1,defective
2,3,clean
2,2,clean
1,1,clean
1,2,defective
2,3,defective
1,1,clean
1,1,defective
1,1,clean
1,1,defective
3,3,clean
1,2,clean
1,1,clean
1,1,defective
1,1,clean
3,10,defective
1,2,defective
2,2,defective
2,7,defective
1,2,defective
1,1,defective
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
2,2,clean
2,2,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
2,2,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
2,2,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
1,1,clean
