@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R3,5-6,8'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute mods numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,551,213,8,29,19,clean
2,2,3007,213,240,61,54,defective
3,3,680,192,23,133,52,defective
1,1,510,177,93,264,255,defective
8,8,126,213,112,9,7,defective
4,4,116,223,130,700,1,defective
5,5,58,1577,64,96,92,defective
3,3,7,186,57,7,0,clean
2,2,80,192,411,15,14,clean
2,2,807,177,170,29,30,defective
1,1,1248,213,190,48,26,clean
2,2,144,213,130,11,11,defective
2,2,2365,192,37,156,60,clean
2,2,510,177,69,178,172,defective
1,1,256,213,23,16,16,defective
2,2,120,223,66,13,13,defective
1,1,38,186,69,19,2,clean
2,2,6572,192,83,190,60,defective
6,6,60,213,111,46,21,defective
3,3,262,223,93,99,120,defective
1,1,510,177,93,264,255,defective
2,2,28,213,37,134,1,defective
3,3,34,186,98,9,5,defective
2,2,529,192,76,30,19,clean
2,2,24,177,63,15,0,defective
2,2,3,213,0,5,2,clean
20,20,18,213,0,12,3,defective
20,20,5,223,11,187,3,defective
22,22,70,1577,2,469,30,clean
24,24,13,186,14,23,4,defective
20,20,9,192,2,30,2,defective
27,27,39,177,0,29,11,defective
1,1,15,213,0,0,15,clean
1,1,395,213,13,79,5,clean
1,1,20520,213,41,190,108,clean
3,3,1066,213,63,207,191,defective
3,3,25024,192,98,289,43,defective
6,6,476,213,237,23,23,defective
5,5,68,223,101,110,96,defective
4,4,135,192,22,82,34,defective
2,2,45,177,87,177,170,defective
1,1,5,213,108,0,5,clean
3,3,1,186,105,1,1,clean
1,1,20128,192,113,148,136,defective
16,16,4,213,86,14,8,defective
11,11,52,223,20,365,4,defective
7,7,66,1577,7,50,9,defective
7,7,62,186,230,68,195,clean
5,5,40,192,102,10,9,clean
5,5,9,177,30,17,0,clean
10,10,26,213,49,58,43,defective
2,2,5,223,55,2,4,clean
6,6,9,1577,91,16,8,defective
3,3,86,186,21,104,11,defective
6,6,186,192,70,59,37,defective
1,1,510,177,93,264,255,defective
1,1,76,213,41,76,0,clean
1,1,10,1577,41,2,5,clean
1,1,14,213,111,7,2,clean
1,1,21,223,105,3,7,clean
5,5,43,213,88,30,19,defective
3,3,430,1577,51,43,21,defective
2,2,1294,192,120,113,73,defective
1,1,551,213,8,29,19,clean
1,1,1947,223,122,1947,0,clean
3,3,1066,213,44,119,220,defective
5,5,208,186,35,39,31,defective
2,2,175,192,36,4,14,clean
3,3,280,213,133,138,1,defective
5,5,179,223,123,56,25,defective
3,3,430,1577,51,43,21,defective
3,3,10,186,22,4,1,clean
4,4,2,213,0,2,1,clean
1,1,1,192,0,1,0,clean
1,1,15,213,0,5,3,clean
1,1,10,223,0,5,2,clean
1,1,130,186,36,26,5,clean
4,4,655,192,30,55,6,defective
1,1,154,213,0,11,14,clean
1,1,12,1577,0,0,12,clean
1,1,196,192,0,14,14,clean
1,1,8,177,0,8,1,clean
