@relation 'dataset_feat_h-weka.filters.unsupervised.attribute.Remove-R2-3,5,7-9,11'

@attribute comm numeric
@attribute exp numeric
@attribute modd numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,551,1,29,clean
2,3007,2,61,defective
3,680,4,133,defective
1,510,2,264,defective
8,126,8,9,defective
4,116,4,700,defective
5,58,9,96,defective
3,7,4,7,clean
2,80,2,15,clean
2,807,2,29,defective
1,1248,1,48,clean
2,144,4,11,defective
2,2365,3,156,clean
2,510,3,178,defective
1,256,1,16,defective
2,120,2,13,defective
1,38,1,19,clean
2,6572,2,190,defective
6,60,6,46,defective
3,262,3,99,defective
1,510,2,264,defective
2,28,2,134,defective
3,34,5,9,defective
2,529,3,30,clean
2,24,2,15,defective
2,3,3,5,clean
20,18,49,12,defective
20,5,25,187,defective
22,70,111,469,clean
24,13,29,23,defective
20,9,31,30,defective
27,39,34,29,defective
1,15,1,0,clean
1,395,1,79,clean
1,20520,1,190,clean
3,1066,6,207,defective
3,25024,11,289,defective
6,476,6,23,defective
5,68,8,110,defective
4,135,9,82,defective
2,45,3,177,defective
1,5,1,0,clean
3,1,3,1,clean
1,20128,2,148,defective
16,4,23,14,defective
11,52,15,365,defective
7,66,9,50,defective
7,62,7,68,clean
5,40,5,10,clean
5,9,5,17,clean
10,26,32,58,defective
2,5,6,2,clean
6,9,9,16,defective
3,86,4,104,defective
6,186,15,59,defective
1,510,2,264,defective
1,76,1,76,clean
1,10,1,2,clean
1,14,1,7,clean
1,21,1,3,clean
5,43,5,30,defective
3,430,3,43,defective
2,1294,2,113,defective
1,551,1,29,clean
1,1947,1,1947,clean
3,1066,5,119,defective
5,208,7,39,defective
2,175,3,4,clean
3,280,3,138,defective
5,179,7,56,defective
3,430,3,43,defective
3,10,3,4,clean
4,2,4,2,clean
1,1,1,1,clean
1,15,1,5,clean
1,10,1,5,clean
1,130,1,26,clean
4,655,6,55,defective
1,154,1,11,clean
1,12,1,0,clean
1,196,1,14,clean
1,8,1,8,clean
2,154,2,6,clean
4,292,4,33,defective
1,3,1,3,clean
1,32,1,4,clean
2,4,2,0,clean
1,18,1,18,defective
3,259,4,209,defective
2,61,9,167,defective
3,6,3,4,clean
1,22,1,1,clean
3,14,3,22,defective
1,49770,3,399,defective
1,138,1,138,clean
1,22,1,1,clean
6,498,7,75,defective
2,28,5,121,defective
2,20,2,18,defective
1,209,1,209,clean
1,2,1,2,clean
2,5,2,3,clean
1,1,1,1,clean
2,4,2,2,clean
1,73,2,37,clean
1,31,1,31,clean
1,73,1,73,clean
2,1032,5,21,clean
1,8532,1,108,defective
1,34225,1,185,clean
12,1678,21,95,defective
4,777,7,126,defective
6,27,6,24,defective
5,208,7,76,defective
9,719,21,61,defective
1,510,2,264,defective
5,4,6,22,defective
4,6,5,6,clean
1,190,1,10,clean
2,1,2,2,clean
3,696,7,74,defective
1,3,1,3,clean
3,382,4,12,defective
3,105,3,19,defective
2,2365,4,136,defective
2,16,3,177,defective
1,31759,1,349,clean
3,27,4,70,defective
8,257,10,162,defective
2,180,3,7,clean
6,27,7,16,defective
6,2665,13,249,defective
1,510,2,264,defective
1,76,2,130,defective
2,18,2,6,defective
1,100,1,2,clean
1,12,6,16,clean
3,18,3,39,clean
1,1,4,1,clean
12,189,18,71,defective
1,9666,1,179,defective
5,51,5,20,defective
2,208,3,174,defective
4,102,8,36,defective
1,510,2,264,defective
1,492,1,4,clean
1,4,1,2,defective
1,164,1,4,clean
1,2500,2,100,defective
1,4416,1,184,defective
1,12,1,0,clean
1,608,1,38,defective
5,219,6,153,defective
2,6830,3,72,defective
4,1066,6,243,defective
1,728,3,26,clean
1,322,1,322,defective
7,208,12,112,defective
1,1,2,1,clean
6,13,11,29,defective
7,87,11,76,defective
8,44,11,25,defective
5,203,15,54,defective
6,12,7,78,defective
1,648,1,36,clean
1,18,3,11,clean
11,58,13,57,clean
9,42,20,1198,defective
9,5,13,137,defective
5,193,10,46,defective
3,11,3,2,clean
6,16,12,200,defective
12,42,15,15,defective
1,24,2,7,clean
1,4,1,4,clean
3,67,3,26,clean
6,57,10,22,clean
4,13,13,232,defective
6,266,12,3905,defective
5,34,5,26,defective
6,123,10,20,clean
1,4,1,4,clean
1,4,1,4,clean
1,24,1,6,clean
1,11,1,0,clean
2,3,2,0,clean
2,66,2,68,clean
1,14,1,14,clean
1,238,1,17,clean
1,2295,1,51,clean
1,2295,1,51,clean
2,4,3,18,clean
1,54,1,9,clean
8,21,8,14,defective
20,147,34,33,defective
5,28,5,12,clean
2,34,2,2,clean
4,556,5,178,clean
5,1,7,14,defective
1,1,1,1,clean
1,47670,1,210,defective
2,3,2,2,clean
1,33,1,11,clean
2,276,2,48,clean
3,1,3,5,clean
2,17280,2,273,clean
2,1501,2,758,clean
1,172860,1,1005,defective
2,768,2,384,clean
1,5,1,5,clean
1,144,1,18,defective
1,154,1,22,defective
1,31759,1,349,clean
1,261057,1,503,clean
1,177,2,88,defective
2,36,2,6,clean
1,1,1,1,defective
1,1,1,1,defective
1,736,1,32,clean
1,1248,1,48,clean
1,231,1,21,clean
1,3053,1,71,defective
1,227,1,227,defective
1,7878,1,101,clean
1,7878,1,101,clean
1,648,1,36,clean
1,38,1,19,clean
1,7705,2,65,clean
1,1470,1,35,defective
1,5720,1,104,clean
1,2,1,2,clean
1,551,1,29,clean
1,551,1,29,clean
1,551,1,29,clean
1,1288,4,68,defective
1,49,1,7,defective
1,24,1,12,clean
1,55,1,11,clean
2,168,3,29,clean
2,12,2,15,clean
1,73,1,73,clean
1,40,1,10,clean
1,870,1,30,clean
1,10,2,7,clean
1,31759,2,175,clean
1,1,1,1,clean
1,40,1,40,clean
1,2,1,2,clean
2,64,2,267,clean
1,36,1,9,clean
4,26,4,20,clean
1,190,1,10,clean
2,142,2,38,defective
1,1,1,0,clean
3,10,3,629,defective
1,112,1,16,clean
1,625,1,25,clean
1,12,1,3,clean
1,390,1,13,clean
1,550,1,11,clean
2,16,2,8,defective
1,11,1,0,clean
1,18,1,18,defective
1,918,1,51,defective
6,1611,7,155,defective
1,3721,1,61,clean
2,175,3,32,clean
1,12,1,12,defective
1,49770,2,451,defective
1,6,4,6,clean
1,446,1,446,defective
1,9,2,3,clean
1,25,1,5,defective
1,480,1,15,clean
2,1,4,6,defective
1,27,2,12,clean
1,870,1,10,defective
1,30,1,3,clean
1,18,3,11,clean
1,5,1,5,clean
1,24,1,12,clean
2,2,2,2,clean
3,2,3,2,clean
1,8100,1,90,defective
1,3,1,3,clean
2,2,3,0,clean
1,125,4,217,defective
3,71,3,43,defective
1,21,1,7,clean
1,24,1,12,clean
1,1850,1,1850,clean
1,20520,1,190,clean
2,304,2,10,clean
1,1,1,1,clean
1,35,1,5,clean
3,1,3,2,clean
3,4,3,2,clean
1,1248,1,48,clean
1,111,1,111,clean
1,1248,1,48,clean
1,188,3,72,defective
1,1260,1,30,clean
1,14,1,14,clean
1,289,12,125,defective
1,227,1,227,defective
1,15,1,0,clean
1,20520,1,190,clean
1,31759,1,349,clean
1,31759,1,349,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,38,1,0,clean
1,8,2,2,clean
5,3,14,17,clean
2,6,3,400,clean
1,36,2,27,clean
2,3,2,10,clean
9,59,9,14,defective
6,10,7,6,defective
11,37,20,144,defective
7,57,7,24,defective
14,281,15,77,defective
14,16,18,154,defective
1,7,1,1,clean
1,40,1,10,clean
1,40,1,10,clean
2,10607,2,5307,clean
1,37,1,37,clean
1,190992,1,692,clean
4,8781,4,174,defective
2,651,2,188,clean
1,324384,1,496,clean
1,14,1,7,clean
1,760,1,40,clean
1,2,1,2,clean
1,5,1,0,clean
1,15,1,0,clean
1,4,1,2,clean
5,29,14,78,clean
2,1,2,1,clean
5,109,8,105,defective
1,5106,1,74,defective
3,3342,4,194,defective
2,10,5,437,defective
1,6,1,0,clean
1,40,2,10,clean
1,1470,2,1447,clean
2,84,2,67,clean
1,1957,1,19,clean
2,14,2,3,clean
1,35,1,5,clean
1,24,1,8,clean
1,8,1,2,clean
1,95,1,19,clean
1,24,1,12,clean
1,31759,1,349,clean
1,5,1,5,clean
1,31759,1,349,clean
1,6643,2,91,clean
6,62,7,72,defective
2,1,7,2,defective
2,480,2,138,clean
4,61,6,47,clean
4,272,5,147,defective
6,36,9,18,defective
2,6,2,12,defective
1,18,1,6,clean
1,1052,2,236,clean
1,1,1,1,clean
1,1052,2,236,clean
3,32,3,11,clean
3,25,3,33,defective
1,96,1,16,defective
1,1092,2,35,clean
3,336,3,29,clean
1,75,1,15,clean
1,226576,1,476,defective
2,1,2,1,defective
2,858,2,18,clean
3,950,3,20,defective
2,268,2,50,defective
3,168,3,16,defective
1,226576,1,476,defective
1,112,1,14,clean
7,1022,7,61,defective
1,270,1,45,clean
1,226576,1,476,defective
2,1092,2,33,defective
1,5,1,5,clean
1,11571,1,133,clean
1,62,1,31,clean
2,510,2,30,defective
1,1,1,1,clean
1,529,1,23,defective
1,18,1,18,clean
2,4,2,14,clean
1,120,1,30,clean
1,62,1,31,clean
1,9310,1,98,clean
3,269010,5,230,defective
1,80,1,80,defective
1,232,1,29,clean
1,31,1,31,clean
1,486,1,27,clean
7,950,7,26,defective
2,26,2,32,clean
1,17,1,17,clean
1,18,1,6,clean
1,8,1,4,clean
14,972,33,32,defective
8,34,12,13,clean
14,24,18,1189,defective
12,75,16,53,defective
8,1551,11,123,defective
9,17,11,209,defective
1,390,1,13,clean
