@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,5,7,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute modd numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,551,1,145,8,29,clean
2,2,3007,2,844,240,61,defective
3,3,680,4,121,23,133,clean
1,1,510,2,352,93,264,defective
8,8,126,8,534,112,9,defective
4,4,116,4,864,130,700,defective
5,5,58,9,414,64,96,defective
3,3,7,4,367,57,7,clean
2,2,80,2,1303,411,15,clean
2,2,807,2,772,170,29,defective
1,1,1248,1,499,190,48,clean
2,2,144,4,491,130,11,defective
2,2,2365,3,143,37,156,clean
2,2,510,3,276,69,178,defective
1,1,256,1,145,23,16,defective
2,2,120,2,376,66,13,defective
1,1,38,1,428,69,19,clean
2,2,6572,2,378,83,190,defective
6,6,60,6,410,111,46,defective
3,3,262,3,321,93,99,defective
1,1,510,2,352,93,264,defective
2,2,28,2,191,37,134,defective
3,3,34,5,401,98,9,clean
2,2,529,3,304,76,30,clean
2,2,24,2,265,63,15,clean
2,2,3,3,0,0,5,clean
20,20,18,49,61,0,12,defective
20,20,5,25,193,11,187,defective
22,22,70,111,172,2,469,defective
24,24,13,29,124,14,23,defective
20,20,9,31,89,2,30,defective
27,27,39,34,81,0,29,defective
1,1,15,1,25,0,0,clean
1,1,395,1,50,13,79,defective
1,1,20520,1,315,41,190,clean
3,3,1066,6,407,63,207,defective
3,3,25024,11,696,98,289,defective
6,6,476,6,833,237,23,defective
5,5,68,8,365,101,110,defective
4,4,135,9,103,22,82,clean
2,2,45,3,334,87,177,defective
1,1,5,1,343,108,0,clean
3,3,1,3,344,105,1,clean
1,1,20128,2,344,113,148,clean
16,16,4,23,350,86,14,defective
11,11,52,15,296,20,365,defective
7,7,66,9,79,7,50,defective
7,7,62,7,1050,230,68,defective
5,5,40,5,357,102,10,clean
5,5,9,5,548,30,17,clean
10,10,26,32,283,49,58,defective
2,2,5,6,347,55,2,defective
6,6,9,9,336,91,16,defective
3,3,86,4,155,21,104,defective
6,6,186,15,254,70,59,defective
1,1,510,2,352,93,264,defective
1,1,76,1,103,41,76,clean
1,1,10,1,103,41,2,clean
1,1,14,1,351,111,7,clean
1,1,21,1,343,105,3,clean
5,5,43,5,564,88,30,defective
3,3,430,3,125,51,43,defective
2,2,1294,2,391,120,113,defective
1,1,551,1,145,8,29,clean
1,1,1947,1,500,122,1947,clean
3,3,1066,5,192,44,119,defective
5,5,208,7,213,35,39,defective
2,2,175,3,239,36,4,clean
3,3,280,3,507,133,138,defective
5,5,179,7,446,123,56,defective
3,3,430,3,125,51,43,defective
3,3,10,3,346,22,4,clean
4,4,2,4,487,0,2,clean
1,1,1,1,547,0,1,clean
1,1,15,1,492,0,5,clean
1,1,10,1,517,0,5,clean
1,1,130,1,180,36,26,clean
4,4,655,6,175,30,55,defective
1,1,154,1,492,0,11,clean
1,1,12,1,2,0,0,clean
1,1,196,1,539,0,14,clean
1,1,8,1,546,0,8,clean
2,2,154,2,492,0,6,clean
4,4,292,4,538,0,33,defective
1,1,3,1,542,0,3,clean
1,1,32,1,231,53,4,clean
2,2,4,2,899,284,0,clean
1,1,18,1,926,292,18,defective
3,3,259,4,530,126,209,defective
2,2,61,9,253,95,167,defective
3,3,6,3,328,18,4,clean
1,1,22,1,3,0,1,clean
3,3,14,3,173,43,22,clean
1,1,49770,3,242,123,399,defective
1,1,138,1,102,15,138,clean
1,1,22,1,3,0,1,clean
6,6,498,7,345,88,75,defective
2,2,28,5,380,103,121,defective
2,2,20,2,702,185,18,defective
1,1,209,1,116,29,209,clean
1,1,2,1,701,186,2,clean
2,2,5,2,1,0,3,clean
1,1,1,1,53,9,1,clean
2,2,4,2,196,35,2,clean
1,1,73,2,116,26,37,clean
1,1,31,1,56,0,31,clean
1,1,73,1,22,7,73,clean
2,2,1032,5,647,155,21,defective
1,1,8532,1,535,0,108,defective
1,1,34225,1,1977,444,185,defective
12,12,1678,21,459,101,95,defective
4,4,777,7,396,110,126,defective
6,6,27,6,119,49,24,defective
5,5,208,7,210,34,76,defective
9,9,719,21,313,67,61,defective
1,1,510,2,352,93,264,defective
5,5,4,6,269,77,22,defective
4,4,6,5,510,25,6,clean
1,1,190,1,539,0,10,clean
2,2,1,2,485,142,2,clean
3,3,696,7,254,45,74,defective
1,1,3,1,502,138,3,clean
3,3,382,4,210,44,12,defective
3,3,105,3,257,67,19,defective
2,2,2365,4,234,25,136,defective
