@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R3,6-9,11'

@attribute comm numeric
@attribute adev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute addl numeric
@attribute label {clean,defective}

@data
1,1,551,48,29,clean
2,2,3007,80,61,defective
3,3,680,460,133,clean
1,1,510,1039,264,defective
8,8,126,78,9,defective
4,4,116,2759,700,defective
5,5,58,29,96,defective
3,3,7,10,7,clean
2,2,80,16,15,clean
2,2,807,44,29,defective
1,1,1248,74,48,clean
2,2,144,42,11,defective
2,2,2365,284,156,clean
2,2,510,1052,178,defective
1,1,256,32,16,defective
2,2,120,26,13,defective
1,1,38,21,19,clean
2,2,6572,416,190,defective
6,6,60,30,46,defective
3,3,262,87,99,defective
1,1,510,1039,264,defective
2,2,28,4,134,defective
3,3,34,42,9,clean
2,2,529,44,30,clean
2,2,24,32,15,clean
2,2,3,21,5,clean
20,20,18,469,12,defective
20,20,5,127,187,defective
22,22,70,1103,469,defective
24,24,13,2,23,defective
20,20,9,14,30,defective
27,27,39,307,29,defective
1,1,15,15,0,clean
1,1,395,84,79,defective
1,1,20520,298,190,clean
3,3,1066,2396,207,defective
3,3,25024,143,289,defective
6,6,476,189,23,defective
5,5,68,5,110,defective
4,4,135,10,82,clean
2,2,45,4,177,defective
1,1,5,5,0,clean
3,3,1,8,1,clean
1,1,20128,568,148,clean
16,16,4,77,14,defective
11,11,52,4,365,defective
7,7,66,15,50,defective
7,7,62,1702,68,defective
5,5,40,18,10,clean
5,5,9,6,17,clean
10,10,26,6,58,defective
2,2,5,16,2,defective
6,6,9,124,16,defective
3,3,86,30,104,defective
6,6,186,76,59,defective
1,1,510,1039,264,defective
1,1,76,76,76,clean
1,1,10,7,2,clean
1,1,14,9,7,clean
1,1,21,10,3,clean
5,5,43,14,30,defective
3,3,430,119,43,defective
2,2,1294,76,113,defective
1,1,551,48,29,clean
1,1,1947,1947,1947,clean
3,3,1066,1699,119,defective
5,5,208,494,39,defective
2,2,175,56,4,clean
3,3,280,417,138,defective
5,5,179,47,56,defective
3,3,430,119,43,defective
3,3,10,19,4,clean
4,4,2,10,2,clean
1,1,1,1,1,clean
1,1,15,8,5,clean
1,1,10,7,5,clean
1,1,130,31,26,clean
4,4,655,107,55,defective
1,1,154,25,11,clean
1,1,12,12,0,clean
1,1,196,28,14,clean
1,1,8,9,8,clean
2,2,154,26,6,clean
4,4,292,28,33,defective
1,1,3,4,3,clean
1,1,32,12,4,clean
2,2,4,5,0,clean
1,1,18,18,18,defective
3,3,259,16,209,defective
2,2,61,1802,167,defective
3,3,6,15,4,clean
1,1,22,23,1,clean
3,3,14,64,22,clean
1,1,49770,1355,399,defective
1,1,138,138,138,clean
1,1,22,23,1,clean
6,6,498,406,75,defective
2,2,28,1284,121,defective
2,2,20,8,18,defective
1,1,209,209,209,clean
1,1,2,2,2,clean
2,2,5,7,3,clean
1,1,1,2,1,clean
2,2,4,10,2,clean
1,1,73,125,37,clean
1,1,31,31,31,clean
1,1,73,73,73,clean
2,2,1032,184,21,defective
1,1,8532,187,108,defective
1,1,34225,370,185,defective
12,12,1678,190,95,defective
4,4,777,1651,126,defective
6,6,27,165,24,defective
5,5,208,854,76,defective
9,9,719,76,61,defective
1,1,510,1039,264,defective
5,5,4,344,22,defective
4,4,6,9,6,clean
1,1,190,29,10,clean
2,2,1,47,2,clean
3,3,696,27,74,defective
1,1,3,3,3,clean
3,3,382,32,12,defective
3,3,105,37,19,defective
2,2,2365,284,136,defective
2,2,16,1047,177,defective
1,1,31759,440,349,clean
3,3,27,267,70,defective
8,8,257,17,162,defective
2,2,180,227,7,clean
6,6,27,16,16,clean
6,6,2665,264,249,defective
1,1,510,1039,264,defective
1,1,76,284,130,defective
2,2,18,34,6,clean
1,1,100,52,2,clean
1,1,12,100,16,clean
3,3,18,119,39,clean
1,1,1,16,1,clean
12,12,189,16,71,defective
1,1,9666,233,179,defective
5,5,51,74,20,defective
2,2,208,842,174,defective
4,4,102,54,36,defective
1,1,510,1039,264,defective
1,1,492,127,4,clean
1,1,4,4,2,clean
1,1,164,45,4,clean
1,1,2500,397,100,defective
1,1,4416,208,184,defective
1,1,12,12,0,clean
1,1,608,54,38,defective
5,5,219,14,153,defective
2,2,6830,92,72,defective
4,4,1066,2598,243,defective
1,1,728,164,26,clean
1,1,322,322,322,defective
7,7,208,1755,112,defective
1,1,1,4,1,clean
6,6,13,7,29,defective
7,7,87,28,76,defective
8,8,44,175,25,defective
5,5,203,29,54,defective
6,6,12,19,78,defective
1,1,648,54,36,clean
1,1,18,75,11,clean
11,11,58,1334,57,defective
9,9,42,15,1198,defective
9,9,5,2,137,clean
5,5,193,675,46,defective
3,3,11,23,2,clean
6,6,16,2397,200,defective
12,12,42,152,15,defective
1,1,24,24,7,clean
1,1,4,5,4,clean
3,3,67,107,26,defective
6,6,57,141,22,defective
4,4,13,11,232,defective
6,6,266,1455,3905,defective
5,5,34,148,26,defective
6,6,123,14,20,defective
1,1,4,4,4,clean
1,1,4,4,4,clean
1,1,24,10,6,clean
1,1,11,11,0,clean
2,2,3,4,0,clean
2,2,66,136,68,clean
1,1,14,14,14,clean
1,1,238,31,17,clean
1,1,2295,96,51,clean
1,1,2295,96,51,clean
2,2,4,108,18,defective
1,1,54,15,9,clean
8,8,21,2,14,defective
20,20,147,40,33,defective
5,5,28,37,12,clean
2,2,34,2,2,clean
