@relation 'dataset_feat_message-weka.filters.unsupervised.attribute.Remove-R2,5'

@attribute comm numeric
@attribute ddev numeric
@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
1,1,551,1,213,145,8,29,19,clean
2,2,3007,2,213,844,240,61,54,defective
3,4,680,4,192,121,23,133,52,clean
1,5,510,2,177,352,93,264,255,defective
8,2,126,8,213,534,112,9,7,defective
4,5,116,4,223,864,130,700,1,defective
5,9,58,9,1577,414,64,96,92,defective
3,12,7,4,186,367,57,7,0,clean
2,14,80,2,192,1303,411,15,14,clean
2,16,807,2,177,772,170,29,30,defective
1,1,1248,1,213,499,190,48,26,clean
2,2,144,4,213,491,130,11,11,defective
2,4,2365,3,192,143,37,156,60,clean
2,5,510,3,177,276,69,178,172,defective
1,1,256,1,213,145,23,16,16,defective
2,3,120,2,223,376,66,13,13,defective
1,4,38,1,186,428,69,19,2,clean
2,6,6572,2,192,378,83,190,60,defective
6,2,60,6,213,410,111,46,21,defective
3,4,262,3,223,321,93,99,120,defective
1,5,510,2,177,352,93,264,255,defective
2,2,28,2,213,191,37,134,1,defective
3,4,34,5,186,401,98,9,5,clean
2,6,529,3,192,304,76,30,19,clean
2,7,24,2,177,265,63,15,0,clean
2,1,3,3,213,0,0,5,2,clean
20,6,18,49,213,61,0,12,3,defective
20,11,5,25,223,193,11,187,3,defective
22,20,70,111,1577,172,2,469,30,defective
24,26,13,29,186,124,14,23,4,defective
20,33,9,31,192,89,2,30,2,defective
27,41,39,34,177,81,0,29,11,defective
1,1,15,1,213,25,0,0,15,clean
1,1,395,1,213,50,13,79,5,defective
1,1,20520,1,213,315,41,190,108,clean
3,1,1066,6,213,407,63,207,191,defective
3,3,25024,11,192,696,98,289,43,defective
6,3,476,6,213,833,237,23,23,defective
5,5,68,8,223,365,101,110,96,defective
4,8,135,9,192,103,22,82,34,clean
2,10,45,3,177,334,87,177,170,defective
1,1,5,1,213,343,108,0,5,clean
3,2,1,3,186,344,105,1,1,clean
1,3,20128,2,192,344,113,148,136,clean
16,3,4,23,213,350,86,14,8,defective
11,6,52,15,223,296,20,365,4,defective
7,9,66,9,1577,79,7,50,9,defective
7,12,62,7,186,1050,230,68,195,defective
5,15,40,5,192,357,102,10,9,clean
5,18,9,5,177,548,30,17,0,clean
10,3,26,32,213,283,49,58,43,defective
2,5,5,6,223,347,55,2,4,defective
6,8,9,9,1577,336,91,16,8,defective
3,10,86,4,186,155,21,104,11,defective
6,13,186,15,192,254,70,59,37,defective
1,14,510,2,177,352,93,264,255,defective
1,1,76,1,213,103,41,76,0,clean
1,2,10,1,1577,103,41,2,5,clean
1,1,14,1,213,351,111,7,2,clean
1,2,21,1,223,343,105,3,7,clean
5,2,43,5,213,564,88,30,19,defective
3,4,430,3,1577,125,51,43,21,defective
2,6,1294,2,192,391,120,113,73,defective
1,1,551,1,213,145,8,29,19,clean
1,2,1947,1,223,500,122,1947,0,clean
3,1,1066,5,213,192,44,119,220,defective
5,2,208,7,186,213,35,39,31,defective
2,3,175,3,192,239,36,4,14,clean
3,1,280,3,213,507,133,138,1,defective
5,3,179,7,223,446,123,56,25,defective
3,5,430,3,1577,125,51,43,21,defective
3,6,10,3,186,346,22,4,1,clean
4,2,2,4,213,487,0,2,1,clean
1,3,1,1,192,547,0,1,0,clean
1,1,15,1,213,492,0,5,3,clean
1,2,10,1,223,517,0,5,2,clean
1,3,130,1,186,180,36,26,5,clean
4,5,655,6,192,175,30,55,6,defective
1,1,154,1,213,492,0,11,14,clean
1,2,12,1,1577,2,0,0,12,clean
1,3,196,1,192,539,0,14,14,clean
1,4,8,1,177,546,0,8,1,clean
2,1,154,2,213,492,0,6,7,clean
4,4,292,4,192,538,0,33,27,defective
1,5,3,1,177,542,0,3,1,clean
