@relation 'dataset_feat-weka.filters.unsupervised.attribute.Remove-R1-3,5'

@attribute exp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {defective,clean}

@data
2759,2,299,586,0,1379,656,defective
2759,2,299,586,0,1379,656,defective
551,1,358,145,8,29,19,clean
32,2,258,665,138,16,0,clean
297,1,259,1131,349,11,27,clean
86,1,1742,34,0,86,0,clean
3875235,1,1742,1467,220,2839,1365,clean
86,1,1742,34,0,86,0,clean
28,6,299,337,114,5,5,defective
3007,2,358,844,240,61,54,defective
680,4,258,121,23,133,52,defective
510,2,259,352,93,264,255,defective
126,8,358,534,112,9,7,defective
116,4,299,864,130,700,1,defective
58,9,1742,414,64,96,92,defective
7,4,319,367,57,7,0,clean
80,2,258,1303,411,15,14,clean
807,2,259,772,170,29,30,defective
1248,1,358,499,190,48,26,clean
9,1,258,56,0,3,3,clean
7,1,259,55,0,7,1,clean
144,4,358,491,130,11,11,defective
2365,3,258,143,37,156,60,clean
510,3,259,276,69,178,172,defective
256,1,358,145,23,16,16,defective
120,2,299,376,66,13,13,defective
38,1,319,428,69,19,2,clean
6572,2,258,378,83,190,60,defective
581,3,299,141,17,109,118,clean
1,1,1742,194,37,0,1,clean
1947,2,299,264,61,1057,0,clean
107,3,1742,0,0,74,0,clean
60,6,358,410,111,46,21,defective
262,3,299,321,93,99,120,defective
510,2,259,352,93,264,255,defective
8,1,319,172,36,4,2,defective
28,2,358,191,37,134,1,defective
34,5,319,401,98,9,5,defective
529,3,258,304,76,30,19,clean
24,2,259,265,63,15,0,defective
57,3,299,475,131,13,5,defective
4,1,299,2,0,4,0,clean
12,1,1742,2,0,0,12,clean
12,1,1742,2,0,0,12,clean
3,3,358,0,0,5,2,clean
4,2,299,385,100,0,4,clean
81,1,258,190,40,9,9,defective
516,2,258,84,13,25,22,clean
1,1,259,86,14,1,0,clean
731,12,258,86,15,126,48,clean
18,49,358,61,0,12,3,defective
5,25,299,193,11,187,3,defective
70,111,1742,172,2,469,30,clean
13,29,319,124,14,23,4,defective
9,31,258,89,2,30,2,defective
39,34,259,81,0,29,11,defective
15,1,358,25,0,0,15,clean
395,1,358,50,13,79,5,clean
1947,1,299,500,122,1947,0,clean
20520,1,358,315,41,190,108,clean
1066,6,358,407,63,207,191,defective
25024,11,258,696,98,289,43,defective
476,6,358,833,237,23,23,defective
68,8,299,365,101,110,96,defective
135,9,258,103,22,82,34,defective
45,3,259,334,87,177,170,defective
5,1,358,343,108,0,5,clean
1,3,319,344,105,1,1,clean
20128,2,258,344,113,148,136,defective
15,1,1742,1144,188,0,15,clean
16,1,319,1123,188,16,1,clean
10607,1,1742,3914,0,10607,0,clean
7,1,299,5,0,7,1,clean
2,1,1742,5,0,2,1,clean
1649,1,1742,359,0,1649,0,clean
4,23,358,350,86,14,8,defective
52,15,299,296,20,365,4,defective
66,9,1742,79,7,50,9,defective
62,7,319,1050,230,68,195,clean
40,5,258,357,102,10,9,clean
9,5,259,548,30,17,0,clean
1947,1,299,500,122,1947,0,clean
26,32,358,283,49,58,43,defective
5,6,299,347,55,2,4,clean
9,9,1742,336,91,16,8,defective
86,4,319,155,21,104,11,defective
186,15,258,254,70,59,37,defective
510,2,259,352,93,264,255,defective
76,1,358,103,41,76,0,clean
10,1,1742,103,41,2,5,clean
1,1,299,665,172,1,1,clean
2476,3,258,135,28,151,63,defective
510,2,259,352,93,264,255,defective
14,1,358,351,111,7,2,clean
21,1,299,343,105,3,7,clean
43,5,358,564,88,30,19,defective
430,3,1742,125,51,43,21,defective
1294,2,258,391,120,113,73,defective
551,1,358,145,8,29,19,clean
1947,1,299,500,122,1947,0,clean
1066,5,358,192,44,119,220,defective
208,7,319,213,35,39,31,defective
175,3,258,239,36,4,14,clean
12,2,1742,4,0,12,0,clean
45,2,1742,231,53,8,4,clean
3,1,299,517,0,1,3,clean
10,1,299,8,0,10,0,clean
22,1,258,3,0,1,22,clean
