@relation dataset_file

@attribute comm numeric
@attribute adev numeric
@attribute ddev numeric
@attribute exp numeric
@attribute oexp numeric
@attribute modd numeric
@attribute mods numeric
@attribute nloc numeric
@attribute cyco numeric
@attribute addl numeric
@attribute reml numeric
@attribute label {clean,defective}

@data
3,3,3,1,3,3,2188,89,16,1,0,clean
4,4,6,2,15,4,1692,41,8,5,0,clean
2,2,7,16,12,2,1454,83,9,3,3,clean
7,7,11,1,2,7,1520,76,14,1,2,clean
6,6,14,1,4,6,1700,166,51,1,1,clean
3,3,16,1,61,3,1355,281,92,9,11,clean
3,3,1,6,14,3,1692,19,0,3,1,clean
1,1,1,7,7,1,1700,211,0,7,0,clean
1,1,1,9,6,1,1692,4,0,3,3,clean
1,1,1,9,6,1,1692,4,0,3,3,clean
1,1,1,7,7,1,1520,6,0,7,0,clean
1,1,1,7,7,1,1520,6,0,7,0,clean
1,1,1,9,6,1,1692,4,0,3,3,clean
1,1,1,1,2,1,2188,2339,0,1,1,clean
3,3,3,64,22,3,1692,2335,0,5,7,clean
3,3,4,3,115,3,1700,2332,0,18,19,clean
1,1,1,9,6,1,1692,4,0,3,3,clean
1,1,1,7,7,1,1520,6,0,7,0,clean
1,1,1,25,10,1,1692,331,93,5,5,clean
1,1,1,25,10,1,1692,7,0,5,5,clean
1,1,1,25,10,1,1692,89,2,5,5,clean
12,12,2,67,1370,12,1700,470,102,95,19,clean
2,2,4,10,59,2,1355,521,113,29,1,clean
2,2,1,1,5,2,2188,214,47,1,1,clean
1,1,2,1,2,1,1692,214,47,1,1,clean
1,1,3,9,6,1,1454,214,47,3,3,clean
2,2,5,2,5,2,1700,215,47,2,1,clean
9,9,3,10,192,9,2188,952,167,25,18,clean
1,1,4,3,4,1,1692,976,166,3,1,clean
2,2,6,22,64,2,1454,992,168,28,5,clean
14,14,9,6,668,14,1520,1134,194,37,11,clean
8,8,12,10,457,8,1700,1111,192,6,55,clean
3,3,15,8,2,3,1355,998,167,5,2,clean
3,3,1,1,3,3,1520,64,0,1,0,clean
4,4,4,2,5,4,1700,64,0,1,0,clean
2,2,1,676,53,2,2188,138,5,13,13,clean
1,1,2,3,3,1,1692,139,5,3,0,clean
1,1,3,2,2,1,1454,137,5,0,2,clean
4,4,5,2,4,4,1520,142,5,2,0,clean
7,7,7,3,5,7,1700,149,5,2,1,clean
4,4,1,1,33,4,2188,823,159,4,4,clean
1,1,2,50,15,1,1692,825,159,10,5,clean
1,1,3,4,4,1,1700,825,159,2,2,clean
1,1,4,9,6,1,1355,825,159,3,3,clean
5,5,1,81,44,5,2188,836,237,4,4,clean
2,2,3,112,6,2,1692,843,236,23,17,clean
2,2,5,2,2,2,1454,843,236,1,1,clean
4,4,8,4,8,4,1520,847,237,3,1,clean
3,3,9,6,19,3,1700,858,240,6,0,clean
2,2,10,51,53,2,1355,902,254,26,0,clean
1,1,1,1,1,1,2188,165,15,0,1,clean
1,1,2,12,7,1,1520,166,15,4,3,clean
1,1,3,81,18,1,1700,166,15,9,9,clean
1,1,1,6,5,1,1700,64,6,3,2,clean
1,1,1,4,4,1,2188,276,71,2,2,clean
6,6,2,5,46,6,1520,280,74,5,2,clean
3,3,4,34,7,3,1700,292,85,17,15,clean
3,3,5,2,19,3,1355,299,87,5,0,clean
1,1,1,1,2,1,2188,48,9,1,1,clean
1,1,2,6,6,1,1454,44,9,0,6,clean
1,1,3,9,6,1,1700,44,9,3,3,clean
1,1,1,36,12,1,2188,103,12,6,6,clean
2,2,1,16,16,2,2188,121,16,4,4,clean
1,1,2,1,2,1,1355,121,16,1,1,clean
1,1,1,4,4,1,2188,292,48,2,2,clean
1,1,2,73,73,1,1454,243,34,0,73,clean
1,1,1,36,12,1,2188,97,5,6,6,clean
2,2,1,73,220,4,2188,20,7,55,0,clean
1,1,1,34,34,1,2188,4,0,34,0,clean
1,1,1,4,4,1,2188,76,28,2,2,defective
5,5,3,3,1,5,2188,345,95,5,0,clean
2,2,4,1,2,2,1454,345,95,0,0,clean
1,1,5,24,24,1,1520,365,100,24,0,clean
2,2,6,4,6,2,1700,365,100,2,1,clean
4,4,9,2,15,4,1355,374,100,5,0,clean
1,1,1,24,10,1,2188,294,53,6,4,clean
1,1,1,5,6,1,2188,358,80,1,5,clean
1,1,1,1,2,1,2188,108,23,1,1,clean
16,16,2,1,475,16,2188,2523,597,23,7,clean
2,2,4,2,4,2,1692,2613,613,1,1,clean
4,4,7,202,101,4,1454,2644,620,34,10,clean
4,4,9,4,24,4,1520,2685,629,4,2,clean
7,7,11,30,459,7,1700,2805,648,51,20,clean
6,6,15,33,16,6,1355,2845,658,9,3,clean
8,8,3,189,43,8,2188,1707,421,18,7,clean
12,12,6,1,303,12,1692,1791,441,22,4,clean
5,5,7,80,260,5,1454,1770,441,15,36,clean
8,8,12,17,4,8,1700,1871,469,29,3,clean
2,2,14,4,8,2,1355,1935,483,2,2,clean
4,4,2,1,2,4,2188,212,56,14,1,defective
2,2,4,2,6,2,1692,234,64,2,1,clean
1,1,5,1,2,1,1454,234,64,1,1,clean
1,1,6,3,4,1,1700,236,64,3,1,clean
3,3,1,1,6,3,2188,190,40,0,1,clean
3,3,2,4,9,3,1454,188,40,1,1,clean
1,1,3,8,6,1,1520,189,40,4,2,clean
6,6,6,19,12,6,1700,249,54,35,4,clean
3,3,8,3,12,3,1355,333,72,5,1,clean
6,6,3,2,2,6,2188,1589,416,3,1,clean
1,1,4,1,2,1,1692,1593,416,1,1,clean
5,5,6,1,122,5,1454,1605,419,21,4,clean
7,7,8,11,164,7,1700,1704,440,20,3,clean
3,3,10,1,4,3,1355,1717,446,1,1,clean
1,1,1,1,2,1,1692,87,20,1,1,clean
1,1,2,1,2,1,1355,87,20,1,1,clean
6,6,1,1,62,6,2188,968,221,5,5,clean
5,5,3,1,6,5,1692,973,226,30,26,clean
5,5,4,2,97,5,1454,995,237,12,7,clean
2,2,5,12,9,2,1520,1004,238,2,2,clean
5,5,8,19,14,5,1700,1022,242,8,2,clean
4,4,10,10,1,4,1355,1024,242,7,6,clean
2,2,1,132,27,2,2188,1038,218,6,7,clean
1,1,2,5,5,1,1454,1034,218,0,5,clean
1,1,3,143,24,1,1520,1036,218,13,11,clean
1,1,4,5,5,1,1700,1040,219,5,0,clean
4,4,6,4,27,5,1355,1043,220,3,3,clean
3,3,2,8,4,3,2188,186,25,3,3,clean
2,2,4,1,2,2,1692,186,25,1,0,clean
1,1,5,72,27,1,1454,205,32,24,3,clean
2,2,6,152,44,2,1520,235,40,19,2,clean
